Date,Open,High,Low,Close,Vol,XXX,K.5MA,K.10MA1,K.15MA2,K.30MA3,K.60MA4,K.120MA5,VOL.VOL,VOL.5MA,VOL.10MA1,VOL.15MA2,MACD.DIF,MACD.MACD,MACD.DIF-MACD
2015/01/21,9.818,11.998,9.818,11.998,170100,4432000,,,,,,,170100,,,,,,
2015/01/22,13.308,13.308,13.308,13.308,60400,1737000,,,,,,,60400,,,,,,
2015/01/23,14.748,14.748,14.748,14.748,158500,5016000,,,,,,,158500,,,,,,
2015/01/26,16.333,16.333,16.333,16.333,454100,15811000,,,,,,,454100,,,,,,
2015/01/27,18.073,18.073,18.073,18.073,1351600,51769000,14.892,,,,,,1351600,438940,,,,,
2015/01/28,19.988,19.988,19.988,19.988,2574000,108446000,16.49,,,,,,2574000,919720,,,,,
2015/01/29,22.093,22.093,22.093,22.093,3191200,147880000,18.247,,,,,,3191200,1545880,,,,,
2015/01/30,24.408,24.408,24.408,24.408,15543000,792227008,20.179,,,,,,15543000,4622780,,,,,
2015/02/02,24.913,26.958,24.408,26.958,61903100,3323897088,22.304,,,,,,61903100,16912580,,,,,
2015/02/03,27.923,29.763,27.683,29.763,23072200,1374358016,24.642,19.767,,,,,23072200,21256700,10847820,,,,
2015/02/04,31.323,32.393,28.473,28.788,39018100,2447929088,26.402,21.446,,,,,39018100,28545520,14732620,,,,
2015/02/05,30.073,31.773,29.588,31.773,30368700,1943428992,28.338,23.2925,,,,,30368700,33981020,17763450,,,,
2015/02/06,30.923,32.173,29.563,30.403,22612100,1449942016,29.537,24.858,,,,,22612100,35394840,20008810,,,,
2015/02/09,29.723,31.238,29.148,29.808,10748300,673598976,30.107,26.2055,,,,,10748300,25163880,21038230,,,,
2015/02/10,29.673,30.723,28.323,30.503,10852400,666625984,30.255,27.4485,23.263,,,,10852400,22719920,21988310,14805186.67,,,
2015/02/11,30.178,33.453,29.928,32.088,12596600,821715008,30.915,28.6585,24.60233333,,,,12596600,17435620,22990570,15633620,,,
2015/02/12,31.873,35.403,31.323,35.403,13387600,931785024,31.641,29.9895,26.07533333,,,,13387600,14039400,24010210,16522100,,,
2015/02/13,36.173,36.843,34.228,35.613,12740100,935944000,32.683,31.11,27.46633333,,,,12740100,12065000,23729920,17360873.33,,,
2015/02/16,35.218,36.523,34.918,35.818,4878500,358272992,33.885,31.996,28.76533333,,,,4878500,10891040,18027460,17655833.33,,,
2015/02/17,35.973,37.418,35.073,36.013,5605400,415780000,34.987,32.621,29.96133333,,,,5605400,9841640,16280780,17939420,,,
2015/02/25,35.323,35.863,33.073,35.408,6107700,434911008,35.651,33.283,30.98933333,,,,6107700,8543860,12989740,18175000,,,
2015/02/26,34.673,35.273,33.548,34.003,3930000,277179008,35.371,33.506,31.78333333,,,,3930000,6652340,10345870,18224253.33,,,
2015/02/27,34.173,34.668,33.423,33.933,4377900,306379008,35.035,33.859,32.41833333,,,,4377900,4979900,8522450,17479913.33,,,
2015/03/02,33.583,34.168,33.023,33.603,4313700,299180000,34.592,34.2385,32.86133333,,,,4313700,4866940,7878990,13640620,,,
2015/03/03,33.713,33.713,32.443,32.623,5067200,345511008,33.914,34.4505,33.052,,,,5067200,4759300,7300470,12440286.67,,,
2015/03/04,32.658,33.518,32.053,33.458,4629600,313398016,33.524,34.5875,33.36333333,,,,4629600,4463680,6503770,10147720,4.672203139,,
2015/03/05,33.528,36.023,33.213,34.748,5714600,409520000,33.673,34.522,33.56166667,,,,5714600,4820600,5736470,8504113.333,4.499085869,,
2015/03/06,34.748,34.748,32.648,32.938,5980900,414803008,33.474,34.2545,33.73066667,,,,5980900,5141200,5060550,7395366.667,4.203292158,,
2015/03/09,32.998,36.253,32.188,34.853,5985400,430035008,33.724,34.158,34.067,,,,5985400,5475540,5171240,7077840,4.020866405,,
2015/03/10,35.028,38.448,35.028,38.448,3831800,298227008,34.889,34.4015,34.59666667,28.92983333,,,3831800,5228460,4993880,6609800,4.075921824,,
2015/03/11,39.828,42.403,39.423,42.073,7385800,625473024,36.612,35.068,35.26233333,29.93233333,,,7385800,5779700,5121690,6262413.333,4.383718272,,
2015/03/12,40.923,41.863,38.188,39.598,4513300,370848000,37.582,35.6275,35.542,30.80866667,,,4513300,5539440,5180020,5670793.333,4.440795622,,
2015/03/13,40.413,42.273,39.978,41.058,3258100,276148992,39.206,36.34,35.905,31.68566667,,,3258100,4994880,5068040,5038660,4.537015249,,
2015/03/16,41.873,44.398,40.173,43.243,6257700,538014976,40.884,37.304,36.4,32.58266667,,,6257700,5049340,5262440,5130606.667,4.694115922,4.391890495,0.302225426
2015/03/17,42.913,46.863,41.923,44.478,6635600,607315968,42.09,38.4895,36.96433333,33.46283333,,,6635600,5610100,5419280,5199286.667,4.897025384,4.492917473,0.404107911
2015/03/18,44.673,44.823,42.138,43.743,5745000,510590016,42.424,39.518,37.52,34.25466667,,,5745000,5281940,5530820,5175106.667,4.934481227,4.581230224,0.353251003
2015/03/19,42.823,42.863,41.698,42.108,4266800,368345984,42.926,40.254,38.06033333,34.92183333,,,4266800,5232640,5386040,5197560,4.794516645,4.623887508,0.170629137
2015/03/20,41.923,42.553,41.013,42.523,3016200,258444000,43.219,41.2125,38.633,35.52566667,,,3016200,5184260,5089570,5106780,4.62692882,4.624495771,0.00243305
2015/03/23,42.523,46.883,41.923,46.883,5590700,514328992,43.947,42.4155,39.51833333,36.18983333,,,5590700,5050860,5050100,5191913.333,4.721303842,4.643857385,0.077446458
2015/03/24,44.578,45.763,43.613,45.063,6741000,613875968,44.064,43.077,40.34766667,36.69983333,,,6741000,5071940,5341020,5303500,4.680215283,4.651128965,0.029086319
2015/03/25,43.923,44.018,42.923,43.603,5131200,456548000,44.036,43.23,41.024,37.19366667,,,5131200,4949180,5115560,5336940,4.487892734,4.618481719,-0.130588985
2015/03/26,43.073,44.423,42.253,42.838,3237500,285684000,44.182,43.554,41.56333333,37.5625,,,3237500,4743320,4987980,5171800,4.250270876,4.54483955,-0.294568674
2015/03/27,42.948,43.523,41.823,42.013,2612500,227983008,44.08,43.6495,42.16833333,37.9495,,,2612500,4662580,4923420,4947240,3.95623357,4.427118354,-0.470884784
2015/03/30,41.943,43.173,41.723,42.678,3689300,321446016,43.239,43.593,42.69,38.3785,,,3689300,4282300,4666580,4794166.667,3.698327036,4.281360091,-0.583033054
2015/03/31,42.423,43.173,42.038,42.438,1877300,164360992,42.714,43.389,42.956,38.77633333,,,1877300,3309560,4190750,4663866.667,3.450826737,4.11525342,-0.664426683
2015/04/01,42.913,44.373,42.423,43.308,2893500,257647008,42.655,43.3455,43.03833333,39.15033333,,,2893500,2862020,3905600,4364380,3.283901127,3.948982961,-0.665081834
2015/04/02,42.938,42.963,41.923,42.233,3844000,333248000,42.534,43.358,43.214,39.378,,,3844000,2983320,3863320,4319760,3.034726918,3.766131753,-0.731404835
2015/04/03,42.053,42.653,40.883,41.583,5011200,427001984,42.448,43.264,43.249,39.577,,,5011200,3463060,4062820,4436633.333,2.752072174,3.563319837,-0.811247663
2015/04/07,41.498,43.698,40.608,42.798,9059500,780092032,42.472,42.8555,43.21933333,39.80966667,,,9059500,4537100,4409700,4623420,2.563074045,3.363270679,-0.800196633
2015/04/08,43.223,44.703,41.928,44.198,6869000,618625984,42.824,42.769,43.20066667,40.0825,,,6869000,5535440,4422500,4638980,2.487997744,3.188216092,-0.700218348
2015/04/09,43.518,48.728,42.858,48.728,7295200,690841024,43.908,43.2815,43.533,40.5265,,,7295200,6415780,4638900,4742326.667,2.680325454,3.086637964,-0.40631251
2015/04/10,48.123,50.423,45.423,47.718,6090100,592160000,45.005,43.7695,43.907,40.98366667,,,6090100,6865000,4924160,4863880,2.845136903,3.038337752,-0.193200849
2015/04/13,47.723,49.388,46.488,48.413,2587600,254672992,46.371,44.4095,44.29966667,41.46633333,,,2587600,6380280,4921670,4835306.667,2.970158558,3.024701913,-0.054543356
2015/04/14,47.838,49.923,45.553,46.633,4528700,439443008,47.138,44.805,44.283,41.90066667,,,4528700,5474120,5005610,4764506.667,2.955287677,3.010819066,-0.055531389
2015/04/15,45.923,45.923,43.073,44.488,4640600,420424992,47.196,45.01,44.24466667,42.29616667,,,4640600,5028440,5281940,4624480,2.695171885,2.94768963,-0.252517745
2015/04/16,43.673,44.883,41.353,43.738,6358400,559451008,46.198,45.053,44.25366667,42.63883333,,,6358400,4841080,5628430,4706293.333,2.375705986,2.833292901,-0.457586915
2015/04/17,44.423,48.218,42.223,48.218,6998100,637561984,46.298,45.6515,44.61233333,43.08783333,,,6998100,5022680,5943840,4957000,2.360888476,2.738812016,-0.37792354
2015/04/20,47.088,51.423,46.033,48.163,5381100,541726016,46.248,46.3095,45.02233333,43.59533333,,,5381100,5581380,5980830,5141573.333,2.460081157,2.683065844,-0.222984687
2015/04/21,48.088,51.103,47.923,50.798,5711900,580428032,47.081,47.1095,45.56366667,44.12683333,,,5711900,5818020,5646070,5276413.333,2.646171363,2.675686948,-0.029515585
2015/04/22,51.098,52.423,49.423,50.843,4197500,434296992,48.352,47.774,46.124,44.54,36.73491667,,4197500,5729400,5378920,5431093.333,2.819846923,2.704518943,0.11532798
2015/04/23,51.048,52.173,49.178,50.923,3795600,392588992,49.789,47.9935,46.63166667,44.835,37.38366667,,3795600,5216840,5028960,5491233.333,2.917101598,2.747035474,0.170066124
2015/04/24,49.963,54.323,48.823,52.988,3750200,389136992,50.743,48.5205,47.34866667,45.28133333,38.045,,3750200,4567260,4794970,5484980,3.078217352,2.81327185,0.264945502
2015/04/27,52.423,58.393,51.948,55.503,3829000,436800992,52.211,49.2295,48.27666667,45.76283333,38.72425,,3829000,4256840,4919110,5406166.667,3.413171662,2.933251812,0.47991985
2015/04/28,54.953,56.923,52.073,53.173,2863300,317782016,52.686,49.8835,48.96833333,46.09383333,39.33825,,2863300,3687120,4752570,4993086.667,3.516945874,3.049990624,0.46695525
2015/04/29,52.168,56.143,51.923,54.848,1883900,207648000,53.487,50.9195,49.67833333,46.4395,39.95116667,,1883900,3224400,4476900,4660746.667,3.606433409,3.161279181,0.445154228
2015/04/30,54.218,58.323,54.163,55.358,2209000,256315008,54.374,52.0815,50.12033333,46.82666667,40.54066667,,2209000,2907080,4061960,4321666.667,3.743935799,3.277810505,0.466125294
2015/05/04,54.423,57.558,53.298,56.238,1763300,201304000,55.024,52.8835,50.68833333,47.29766667,41.10975,,1763300,2509700,3538480,4033213.333,3.811592248,3.384566854,0.427025395
2015/05/05,55.928,56.323,51.423,52.058,2198200,239464992,54.335,53.273,50.93133333,47.6155,41.57058333,,2198200,2183540,3220190,4007253.333,3.592416051,3.426136693,0.166279358
2015/05/06,52.198,54.823,50.923,52.833,1941100,208960000,54.267,53.4765,51.34466667,47.81383333,42.00183333,,1941100,1999100,2843110,3834746.667,3.370783234,3.415066001,-0.044282767
2015/05/07,52.328,53.023,48.968,49.503,1876100,196144000,53.198,53.3425,51.679,47.96183333,42.33083333,,1876100,1997540,2610970,3650446.667,2.951019253,3.322256652,-0.371237399
2015/05/08,50.418,52.363,50.373,51.143,2294400,239854000,52.355,53.3645,52.17266667,48.21316667,42.70341667,,2294400,2014620,2460850,3379513.333,2.668785145,3.19156235,-0.522777205
2015/05/11,51.918,53.763,51.143,53.113,2307500,249358000,51.73,53.377,52.499,48.55566667,43.05908333,,2307500,2123460,2316580,3066806.667,2.539099902,3.061069861,-0.521969958
2015/05/12,53.123,58.168,52.223,56.853,4536100,512382016,52.689,53.512,53.07833333,49.05033333,43.49991667,,4536100,2591040,2387290,3010473.333,2.667120297,2.982279948,-0.315159651
2015/05/13,56.173,61.923,54.423,60.043,3868100,468968000,54.131,54.199,53.69466667,49.62916667,44.00383333,,3868100,2976440,2487770,2887553.333,2.983023794,2.982428717,0.000595077
2015/05/14,60.248,66.023,60.248,63.593,3441200,446043008,56.949,55.0735,54.54466667,50.33433333,44.55533333,,3441200,3289460,2643500,2837133.333,3.536061875,3.093155349,0.442906526
2015/05/15,62.268,65.458,58.928,63.578,4727200,598305024,59.436,55.8955,55.38833333,51.01,45.08016667,,4727200,3776020,2895320,2899240,3.890865934,3.252697466,0.638168468
2015/05/18,64.433,70.043,64.273,69.383,4330500,599737024,62.69,57.21,56.48133333,51.915,45.6465,,4330500,4180620,3152040,2937926.667,4.55407862,3.512973697,1.041104923
2015/05/19,69.423,74.923,64.973,68.863,4391800,627118976,65.092,58.8905,57.372,52.82433333,46.20066667,,4391800,4151760,3371400,2975446.667,5.112332677,3.832845493,1.279487184
2015/05/20,69.023,71.223,65.063,65.503,4585000,631996032,66.184,60.1575,58.194,53.58116667,46.69541667,,4585000,4295140,3635790,3090226.667,5.285439614,4.123364317,1.162075297
2015/05/21,65.468,66.423,63.573,65.803,2849400,376033984,66.626,61.7875,58.92433333,54.30133333,47.19191667,,2849400,4176780,3733120,3154593.333,5.247355994,4.348162652,0.899193341
2015/05/22,66.713,66.823,61.923,63.928,5225500,681520000,66.696,63.066,59.49566667,54.808,47.66725,,5225500,4276440,4026230,3355693.333,5.058004371,4.490130996,0.567873375
2015/05/25,63.853,66.523,62.173,65.053,3257500,432326016,65.83,64.26,60.08333333,55.38583333,48.18475,,3257500,4061840,4121230,3455306.667,4.895885528,4.571281902,0.324603626
2015/05/26,64.923,69.423,63.423,69.103,4995300,680358976,65.878,65.485,61.21966667,56.0755,48.77091667,,4995300,4182540,4167150,3641780,4.957377768,4.648501076,0.308876693
2015/05/27,69.078,72.613,67.923,69.533,4619500,661454976,66.684,66.434,62.333,56.83883333,49.36975,,4619500,4189440,4242290,3820340,5.119573936,4.742715648,0.376858288
2015/05/28,69.658,71.423,65.948,66.388,5244500,732734976,66.801,66.7135,63.45866667,57.56883333,49.9325,,5244500,4668460,4422620,4044900,4.999746729,4.794121864,0.205624865
2015/05/29,66.388,66.923,59.643,64.048,4849000,629400000,66.825,66.7605,64.319,58.24583333,50.44233333,,4849000,4593160,4434800,4215206.667,4.54007018,4.743311527,-0.203241347
2015/06/01,63.673,64.668,58.953,62.928,6331900,794908032,66.4,66.115,64.97333333,58.73616667,50.912,,6331900,5208040,4634940,4483500,4.024781485,4.599605519,-0.574824033
2015/06/02,62.273,63.863,60.523,63.388,4691100,594982016,65.257,65.5675,65.409,59.24366667,51.4195,,4691100,5147200,4664870,4493833.333,3.608802805,4.401444976,-0.792642171
2015/06/03,63.953,64.113,59.423,61.878,4438800,555768000,63.726,65.205,65.53133333,59.613,51.86991667,,4438800,5111060,4650250,4531880,3.164588137,4.154073608,-0.989485471
2015/06/04,61.883,63.513,58.673,61.178,3244300,403184992,62.684,64.7425,65.37033333,59.9575,52.24875,,3244300,4711020,4689740,4518753.333,2.725649715,3.86838883,-1.142739115
2015/06/05,61.223,62.673,58.983,62.298,5064300,633697024,62.334,64.5795,65.285,60.33666667,52.58583333,,5064300,4754080,4673620,4541226.667,2.384793119,3.571669687,-1.186876568
2015/06/08,62.448,68.638,61.088,68.638,7088000,950947008,63.476,64.938,65.23533333,60.85833333,53.06983333,,7088000,4905300,5056670,4725060,2.504380765,3.358211903,-0.853831138
2015/06/09,68.618,70.423,65.488,66.913,5891400,811123008,64.181,64.719,65.10533333,61.23866667,53.50075,,5891400,5145360,5146280,4825033.333,2.624078998,3.211385322,-0.587306324
