日期,开盘,最高,最低,收盘,成交量,成交额,K.5MA,K.10MA1,K.15MA2,K.30MA3,K.60MA4,K.120MA5,VOL.VOL,VOL.5MA,VOL.10MA1,VOL.15MA2,MACD.DIF,MACD.MACD,MACD.DIF-MACD
2015/05/27,4.851,4.851,4.851,4.851,23600,379000,,,,,,,23600,,,,,,
2015/05/28,5.426,5.426,5.426,5.426,6800,121000,,,,,,,6800,,,,,,
2015/05/29,6.058,6.058,6.058,6.058,7800,152000,,,,,,,7800,,,,,,
2015/06/01,6.754,6.754,6.754,6.754,4500,96000,,,,,,,4500,,,,,,
2015/06/02,7.518,7.518,7.518,7.518,5000,117000,6.1214,,,,,,5000,9540,,,,,
2015/06/03,8.361,8.361,8.361,8.361,8200,213000,6.8234,,,,,,8200,6460,,,,,
2015/06/04,9.286,9.286,9.286,9.286,31300,892000,7.5954,,,,,,31300,11360,,,,,
2015/06/05,10.304,10.304,10.304,10.304,15000,470000,8.4446,,,,,,15000,12800,,,,,
2015/06/08,11.426,11.426,11.426,11.426,24600,848000,9.379,,,,,,24600,16820,,,,,
2015/06/09,12.658,12.658,12.658,12.658,31100,1180000,10.407,8.2642,,,,,31100,22040,15790,,,,
2015/06/10,14.015,14.015,14.015,14.015,56400,2355000,11.5378,9.1806,,,,,56400,31680,19070,,,,
2015/06/11,15.508,15.508,15.508,15.508,35500,1630000,12.7822,10.1888,,,,,35500,32520,21940,,,,
2015/06/12,17.147,17.147,17.147,17.147,37900,1915000,14.1508,11.2977,,,,,37900,37100,24950,,,,
2015/06/15,18.951,18.951,18.951,18.951,98200,5463000,15.6558,12.5174,,,,,98200,51820,34320,,,,
2015/06/16,20.936,20.936,20.936,20.936,522300,31933000,17.3114,13.8592,11.27993333,,,,522300,150060,86050,60546.66667,,,
2015/06/17,23.118,23.118,23.118,23.118,668300,44946000,19.132,15.3349,12.49773333,,,,668300,272440,152060,103526.6667,,,
2015/06/18,25.522,25.522,25.522,25.522,1986500,146963008,21.1348,16.9585,13.83746667,,,,1986500,662640,347580,235506.6667,,,
2015/06/19,23.036,27.708,22.879,23.447,32593500,2230479872,22.3948,18.2728,14.99673333,,,,32593500,7173760,3605430,2407886.667,,,
2015/06/23,22.354,23.447,21.029,22.465,17612200,1150350976,23.0976,19.3767,16.04413333,,,,17612200,10676560,5364190,3581733.333,,,
2015/06/24,23.401,24.801,22.672,23.901,22771700,1599856000,23.6906,20.501,17.13633333,,,,22771700,15126440,7638250,5099513.333,,,
2015/06/25,22.851,25.593,21.601,23.297,20113000,1389808000,23.7264,21.4292,18.13206667,,,,20113000,19015380,9643910,6439833.333,,,
2015/06/26,22.318,25.093,21.601,23.729,18420100,1261219968,23.3678,22.2513,19.09493333,,,,18420100,22302100,11482370,7665753.333,,,
2015/07/15,21.265,21.265,21.265,21.265,1251200,77649000,22.9314,22.6631,19.82566667,,,,1251200,16033640,11603700,7748166.667,,,
2015/07/16,19.047,20.526,19.047,19.061,27448100,1546723968,22.2506,22.6741,20.33466667,,,,27448100,18000820,14338690,9576400,,,
